stack_name,stack_type,image_url,homepage_url
Zendesk,Help Desk,https://img.stackshare.io/service/70/ObVtJEgP_400x400.png,http://www.zendesk.com/
Apache Tomcat,Web Servers,https://img.stackshare.io/service/1187/tomcat.png,http://tomcat.apache.org/
Kotlin,Languages,https://img.stackshare.io/service/3750/pCfEzr6L.png,https://kotlinlang.org/
Swift,Languages,https://img.stackshare.io/service/1009/tuHsaI2U.png,https://developer.apple.com/swift/
Animate.css,Front-End Frameworks,https://img.stackshare.io/service/9195/default_5aa00f79c6648507ba5f6c66c130a832332e5adc.png,https://animate.style/
Ansible,Server Configuration and Automation,https://img.stackshare.io/service/663/ElOjna20.png,http://www.ansible.com/
Amazon Route 53,DNS Management,https://img.stackshare.io/service/38/amazon-route-53.png,http://aws.amazon.com/route53
Docker Compose,Container Tools,https://img.stackshare.io/service/3136/docker-compose.png,https://github.com/docker/compose
Flask,Microframeworks (Backend),https://img.stackshare.io/service/1001/default_6d109315b60108628b7cd3e159b84645c31ef0e2.png,http://flask.pocoo.org/
Skype,Web and Video Conferencing,https://img.stackshare.io/service/340/default_9f1a2ce081469c3e5802b091440e5856eabc3f36.jpg,http://www.skype.com/
PyPI,Hosted Package Repository,https://img.stackshare.io/service/12572/-RIWgodF_400x400.jpg,https://pypi.org/
Socket.IO,Realtime Backend / API,https://img.stackshare.io/service/1161/vI0ZZlhZ_400x400.png,http://socket.io/
Selenium,Browser Testing,https://img.stackshare.io/service/1517/sbUizSli_400x400.jpg,http://www.seleniumhq.org/
Amazon CloudWatch,Cloud Monitoring,https://img.stackshare.io/service/401/amazon-cloudwatch.png,http://aws.amazon.com/cloudwatch/
OpenAPI,API Tools,https://img.stackshare.io/service/9792/L8C2-2bd_400x400.jpg,https://www.openapis.org/
C++,Languages,https://img.stackshare.io/service/1049/cplusplus.png,http://www.cplusplus.com/
Mailchimp,Email Marketing,https://img.stackshare.io/service/47/default_3a2efb58b55346c25d951f68f21e56f8af77c9b8.jpg,http://mailchimp.com/
Next.js,Frameworks (Full Stack),https://img.stackshare.io/service/5936/nextjs.png,https://nextjs.org/
Jest,Javascript Testing Framework,https://img.stackshare.io/service/830/jest.png,http://facebook.github.io/jest/
G Suite,Productivity Suite,https://img.stackshare.io/service/247/oYkAxyQM_400x400.jpg,https://gsuite.google.com/
SQLite,Databases,https://img.stackshare.io/service/1071/sqlite.jpg,http://www.sqlite.org/
MariaDB,Databases,https://img.stackshare.io/service/1615/mariadb-logo-400x400.png,https://mariadb.com/
PayPal,Payment Services,https://img.stackshare.io/service/236/yy3lVE1y.jpeg,https://www.paypal.com/
Twilio,Voice and SMS,https://img.stackshare.io/service/130/VrwpNfjh_400x400.png,http://www.twilio.com/
Amazon EC2 Container Service,Containers as a Service,https://img.stackshare.io/service/1908/amazon-ecs.png,https://aws.amazon.com/ecs/
DigitalOcean,Cloud Hosting,https://img.stackshare.io/service/295/Onjxs6Lw_400x400.jpg,https://www.digitalocean.com/
Amazon RDS,SQL Database as a Service,https://img.stackshare.io/service/232/amazon-rds.png,http://aws.amazon.com/rds
WebStorm,Integrated Development Environment,https://img.stackshare.io/service/1455/icon_WebStorm.png,http://www.jetbrains.com/webstorm/
Amazon RDS,SQL Database as a Service,https://img.stackshare.io/service/232/amazon-rds.png,http://aws.amazon.com/rds
New Relic,Performance Monitoring,https://img.stackshare.io/service/103/default_193410db3a7e419c7b436961bf41d733c7346b59.png,http://newrelic.com/
Google Compute Engine,Cloud Hosting,https://img.stackshare.io/service/518/s01TMTGn.png,https://cloud.google.com/products/compute-engine/
.NET,Frameworks (Full Stack),https://img.stackshare.io/service/1014/IoPy1dce_400x400.png,http://www.microsoft.com/net/
Objective-C,Languages,https://img.stackshare.io/service/1008/xcode.png,https://developer.apple.com/library/mac/documentation/Cocoa/Conceptual/ProgrammingWithObjectiveC/Introduction/Introduction.html
Logstash,Log Management,https://img.stackshare.io/service/1683/preview.png,http://logstash.net/
CircleCI,Continuous Integration,https://img.stackshare.io/service/190/CvqrSSFs_400x400.jpg,https://circleci.com/
Asana,Project Management,https://img.stackshare.io/service/108/default_d91a59e7b4dde497605e10e1cf80eb445904a438.jpg,http://asana.com/
Google App Engine,Platform as a Service,https://img.stackshare.io/service/139/s01TMTGn.png,https://developers.google.com/appengine
Memcached,Databases,https://img.stackshare.io/service/1040/hDNnpa4a_400x400.jpg,http://memcached.org/
Drupal,Self-Hosted Blogging / CMS,https://img.stackshare.io/service/1226/H9IAAYru_400x400.jpg,https://www.drupal.org/
NestJS,Frameworks (Full Stack),https://img.stackshare.io/service/8747/4zsOyxko_400x400.jpg,https://stackshare.io/tools/nestjs.com
Twilio SendGrid,Transactional Email,https://img.stackshare.io/service/43/kQ_6nwmP.jpg,http://sendgrid.com/
Microsoft 365,Productivity Suite,https://img.stackshare.io/service/4167/icon.png,https://www.microsoft.com/en/microsoft-365
Prometheus,Monitoring Tools,https://img.stackshare.io/service/2501/default_3cf1b307194b26782be5cb209d30360580ae5b3c.png,http://prometheus.io/
Atom,Text Editor,https://img.stackshare.io/service/648/default_92414794b88a328cecc4ae62413ea91ea0593726.png,http://atom.io/
InVision,Feedback Widget,https://img.stackshare.io/service/165/r9uL4jWU.png,http://www.invisionapp.com/
Spring,Frameworks (Full Stack),https://img.stackshare.io/service/996/unnamed.jpg,http://spring.io/
Dart,Languages,https://img.stackshare.io/service/1646/Twitter-02.png,https://www.dartlang.org/
Rust,Languages,https://img.stackshare.io/service/1070/v7txhrjp9pdqrkdtxxp0.png,http://www.rust-lang.org/
Vercel,Static Web Hosting,https://img.stackshare.io/service/7618/bHjpwZem_400x400.png,https://vercel.com/
Jupyter,Data Science Notebooks,https://img.stackshare.io/service/4190/fGBUdNf__400x400.jpg,http://jupyter.org/
Linux,Operating Systems,https://img.stackshare.io/service/10483/linux.png,https://www.kernel.org/
SonarQube,Code Review,https://img.stackshare.io/service/2638/zIVhxKyn_400x400.png,http://www.sonarqube.org/
ChatGPT,GPT Tools,https://img.stackshare.io/service/48305/default_c9d73940f55db7b7776c9493a9669719b1e07bf4.jpg,https://openai.com/blog/chatgpt/
Jupyter,Data Science Notebooks,https://img.stackshare.io/service/4190/fGBUdNf__400x400.jpg,http://jupyter.org/
Shell,Shells,https://img.stackshare.io/service/4631/default_c2062d40130562bdc836c13dbca02d318205a962.png,https://en.wikipedia.org/wiki/Shell_script
Jekyll,Static Site Generators,https://img.stackshare.io/service/1114/ad968c1615d956e800fa36494314f48c.jpeg,http://jekyllrb.com/
Airflow,Workflow Manager,https://img.stackshare.io/service/3130/airflow.png,http://airbnb.io/projects/airflow/
